timestamp,elapsed_s,cam0_fps,cam1_fps,cam2_fps,cam3_fps,cam4_fps,cam0_gf,cam1_gf,cam2_gf,cam3_gf,cam4_gf,new_alerts
2026-07-26 21:24:59,5697,29.71,29.71,29.71,29.73,29.71,0,0,0,0,0,0
2026-07-26 21:25:59,5757,29.71,29.71,29.71,29.71,29.70,0,0,0,0,0,0
2026-07-26 21:26:59,5817,29.71,29.71,29.71,29.71,29.73,0,0,0,0,0,0
2026-07-26 21:27:59,5877,29.71,29.71,29.71,29.71,29.71,0,0,0,0,0,0
2026-07-26 21:28:59,5937,29.71,29.71,29.71,29.71,29.71,0,0,0,0,0,0
2026-07-26 21:29:59,5997,29.71,29.73,29.71,29.71,29.71,0,0,0,0,0,0
2026-07-26 21:30:59,6057,29.71,29.73,29.71,29.71,29.73,0,0,0,0,0,0
2026-07-26 21:31:59,6117,29.70,29.71,29.73,29.73,29.70,0,0,0,0,0,0
2026-07-26 21:32:59,6177,29.71,29.71,29.71,29.71,29.70,0,0,0,0,0,0
2026-07-26 21:33:59,6237,29.71,29.73,29.71,29.70,29.73,0,0,0,0,0,0
2026-07-26 21:34:59,6297,29.73,29.71,29.73,29.71,29.70,0,0,0,0,0,0
2026-07-26 21:35:59,6357,29.71,29.71,29.71,29.71,29.70,0,0,0,0,0,0
2026-07-26 21:36:59,6417,29.71,29.71,29.71,29.71,29.71,0,0,0,0,0,0
2026-07-26 21:37:59,6477,29.71,29.70,29.71,29.71,29.73,0,0,0,0,0,0
2026-07-26 21:38:59,6537,29.71,29.71,29.73,29.73,29.71,0,0,0,0,0,0
2026-07-26 21:39:59,6597,29.71,29.71,29.71,29.71,29.71,0,0,0,0,0,0
2026-07-26 21:40:59,6657,29.71,29.73,29.71,29.71,29.73,0,0,0,0,0,0
2026-07-26 21:41:59,6717,29.73,29.71,29.71,29.71,29.71,0,0,0,0,0,0
2026-07-26 21:42:59,6777,29.70,29.71,29.71,29.71,29.70,0,0,0,0,0,0
2026-07-26 21:43:59,6837,29.71,29.71,29.71,29.71,29.70,0,0,0,0,0,0
2026-07-26 21:44:59,6897,29.73,29.71,29.71,29.71,29.73,0,0,0,0,0,0
2026-07-26 21:45:59,6957,29.71,29.71,29.73,29.73,29.71,0,0,0,0,0,0
