t_mono,phase,n1_vel,n2_vel,n1_pos,n2_pos
104059.571042826,stop1,0,0,-54259371,-71220198
104059.591191311,stop1,0,0,-54259371,-71220198
104059.611327796,stop1,0,0,-54259371,-71220198
104059.631475834,stop1,0,0,-54259371,-71220198
104059.651612607,stop1,0,0,-54259371,-71220198
104059.672118543,stop1,0,0,-54259371,-71220198
104059.692257972,stop1,0,0,-54259371,-71220198
104059.712426298,stop1,0,0,-54259371,-71220198
104059.732563711,stop1,0,0,-54259371,-71220198
104059.754331987,stop1,0,0,-54259371,-71220198
104059.776176938,bwd,0,0,-54259371,-71220198
104059.796493236,bwd,0,0,-54259371,-71220198
104059.816640473,bwd,0,0,-54259371,-71220198
104059.836784959,bwd,0,0,-54259371,-71220198
104059.856926948,bwd,0,0,-54259371,-71220198
104059.877078986,bwd,0,0,-54259371,-71220198
104059.897508279,bwd,0,0,-54254462,-71214739
104059.917654237,bwd,0,0,-54254462,-71214739
104059.937786561,bwd,0,0,-54254462,-71214739
104059.957926695,bwd,0,0,-54254462,-71214739
104059.97806622,bwd,0,0,-54254462,-71214739
104059.998202225,bwd,0,0,-54254462,-71214739
104060.018336278,bwd,0,0,-54254462,-71214739
104060.038475131,bwd,0,0,-54254462,-71214739
104060.058648865,bwd,0,0,-54254462,-71214739
104060.078786278,bwd,0,0,-54254462,-71214739
104060.098925675,bwd,0,0,-54254462,-71214739
104060.119353945,bwd,1317,1290,-54224847,-71185182
104060.139562112,bwd,1317,1290,-54224847,-71185182
104060.159701605,bwd,1317,1290,-54224847,-71185182
104060.179846379,bwd,1317,1290,-54224847,-71185182
104060.199980976,bwd,1317,1290,-54224847,-71185182
104060.220132117,bwd,1317,1290,-54224847,-71185182
104060.240267674,bwd,1317,1290,-54224847,-71185182
104060.260413312,bwd,1317,1290,-54224847,-71185182
104060.280558341,bwd,1317,1290,-54224847,-71185182
104060.300698058,bwd,1317,1290,-54224847,-71185182
104060.32078667,bwd,1317,1290,-54224847,-71185182
104060.341225468,bwd,1250,1231,-54194078,-71154584
104060.361376193,bwd,1250,1231,-54194078,-71154584
104060.381518662,bwd,1250,1231,-54194078,-71154584
104060.401652779,bwd,1250,1231,-54194078,-71154584
104060.421790448,bwd,1250,1231,-54194078,-71154584
104060.441890196,bwd,1250,1231,-54194078,-71154584
104060.462031098,bwd,1250,1231,-54194078,-71154584
104060.482168799,bwd,1250,1231,-54194078,-71154584
104060.502299236,bwd,1250,1231,-54194078,-71154584
104060.522709937,bwd,1250,1231,-54194078,-71154584
104060.542840854,bwd,1250,1231,-54194078,-71154584
104060.563291556,bwd,1193,1205,-54165216,-71125578
104060.583451177,bwd,1193,1205,-54165216,-71125578
104060.603594895,bwd,1193,1205,-54165216,-71125578
104060.623731604,bwd,1193,1205,-54165216,-71125578
104060.643867737,bwd,1193,1205,-54165216,-71125578
104060.664760756,bwd,1193,1205,-54165216,-71125578
104060.684890681,bwd,1193,1205,-54165216,-71125578
104060.705027326,bwd,1193,1205,-54165216,-71125578
104060.725179203,bwd,1193,1205,-54165216,-71125578
104060.74614432,bwd,1193,1205,-54165216,-71125578
104060.76671749,bwd,1193,1205,-54165216,-71125578
104060.787489705,stop2,1230,1231,-54135836,-71096225
104060.807727889,stop2,1230,1231,-54135836,-71096225
104060.8280495,stop2,1230,1231,-54135836,-71096225
104060.848191201,stop2,1230,1231,-54135836,-71096225
104060.868326438,stop2,1230,1231,-54135836,-71096225
104060.888466667,stop2,1230,1231,-54135836,-71096225
104060.908603312,stop2,1230,1231,-54135836,-71096225
104060.928758742,stop2,1230,1231,-54135836,-71096225
104060.948900603,stop2,1230,1231,-54135836,-71096225
104060.969036352,stop2,1230,1231,-54135836,-71096225
104060.98948923,stop2,780,680,-54123522,-71084159
104061.009633971,stop2,780,680,-54123522,-71084159
104061.029773369,stop2,780,680,-54123522,-71084159
104061.049902973,stop2,780,680,-54123522,-71084159
104061.07003565,stop2,780,680,-54123522,-71084159
104061.090119814,stop2,780,680,-54123522,-71084159
104061.110273323,stop2,780,680,-54123522,-71084159
104061.130417265,stop2,780,680,-54123522,-71084159
104061.150551734,stop2,780,680,-54123522,-71084159
104061.170688027,stop2,780,680,-54123522,-71084159
104061.191620279,stop2,780,680,-54123522,-71084159
104061.212274026,stop2,-113,-118,-54125554,-71085922
104061.232406511,stop2,-113,-118,-54125554,-71085922
104061.25252354,stop2,-113,-118,-54125554,-71085922
104061.273494673,stop2,-113,-118,-54125554,-71085922
104061.293632726,stop2,-113,-118,-54125554,-71085922
104061.313760667,stop2,-113,-118,-54125554,-71085922
104061.3338872,stop2,-113,-118,-54125554,-71085922
104061.354083142,stop2,-113,-118,-54125554,-71085922
104061.37422798,stop2,-113,-118,-54125554,-71085922
104061.394368817,stop2,-113,-118,-54125554,-71085922
104061.414497302,stop2,-113,-118,-54125554,-71085922
104061.43489197,stop2,0,1,-54125560,-71085909
104061.455253838,stop2,0,1,-54125560,-71085909
104061.47551407,stop2,0,1,-54125560,-71085909
104061.495655579,stop2,0,1,-54125560,-71085909
104061.515791584,stop2,0,1,-54125560,-71085909
104061.535919205,stop2,0,1,-54125560,-71085909
104061.556033834,stop2,0,1,-54125560,-71085909
104061.57616667,stop2,0,1,-54125560,-71085909
104061.596329492,stop2,0,1,-54125560,-71085909
104061.616460153,stop2,0,1,-54125560,-71085909
104061.636588958,stop2,0,1,-54125560,-71085909
104061.657011243,stop2,0,0,-54125560,-71085903
104061.677146736,stop2,0,0,-54125560,-71085903
104061.697283477,stop2,0,0,-54125560,-71085903
104061.717423162,stop2,0,0,-54125560,-71085903
104061.737554975,stop2,0,0,-54125560,-71085903
104061.757684996,stop2,0,0,-54125560,-71085903
104061.777813001,stop2,0,0,-54125560,-71085903
104061.797955534,stop2,0,0,-54125560,-71085903
104061.818084115,stop2,0,0,-54125560,-71085903
104061.838218808,stop2,0,0,-54125560,-71085903
104061.859645122,stop2,0,0,-54125560,-71085903
104061.880252149,stop2,0,0,-54125560,-71085903
