t_mono,ax,ay,az,gx,gy,gz
104744.5461,0.24516625,-0.04903325,9.875296549999998,0.004433136300065597,-0.001239183768915974,0.0069638637154573755
104744.5571,0.24516625,-0.06864655,9.7870367,0.0003665191429188092,0.0023038346126325153,0.0045553093477052
104744.5679,0.29419949999999995,-0.0784532,9.80665,0.0016406094968746698,0.0002617993877991494,-0.008395033702092726
104744.5791,0.28439285,-0.02941995,9.79684335,-0.0058468529941810045,-0.002129301687433082,0.00020943951023931956
104744.5899,0.30400615,-0.0392266,9.855683249999998,0.009232791743050004,-0.00973893722612836,0.007155849933176751
104744.6006,0.35303939999999995,0.0196133,9.875296549999998,-0.0052010811709431014,-0.0036477381366681488,-0.0003316125578789226
104744.6104,0.2353596,-0.08825984999999999,9.836069949999999,-0.0045553093477052,-0.0037000980142279784,0.0057246799465414016
104744.6202,0.35303939999999995,-0.00980665,9.79684335,-0.00015707963267948965,0.003560471674068432,0.0018151424220741027
104744.6307,0.26477955,-0.02941995,9.7870367,-0.003682644721708035,-5.235987755982989e-05,0.004886921905584123
104744.6409,0.24516625,-0.0392266,9.81645665,-0.01684242728174528,0.005393067388662479,0.006911503837897545
104744.6503,0.26477955,-0.00980665,9.79684335,-0.007243116395776467,-0.012356931104119853,0.00905825881785057
104744.6610,0.24516625,-0.02941995,9.845876599999999,0.0027052603405912107,-0.0049741883681838385,-0.0007853981633974482
104744.6719,0.2745862,-0.02941995,9.747810099999999,0.005899212871740834,0.0014835298641951802,-0.004677482395344803
104744.6830,0.26477955,-0.0196133,9.81645665,-0.0035081117965086025,0.004747295565424576,0.00986111027376796
104744.6941,0.28439285,-0.0392266,9.81645665,-0.003298672286269283,-0.011222467090323538,-0.0014311699866353504
104744.7044,0.32361945,0.06864655,9.7870367,0.002897246558310587,0.005567600313861911,-0.006370451769779303
104744.7143,0.2353596,-0.04903325,9.81645665,0.0022514747350726853,0.0005235987755982988,-0.005009094953223725
104744.7240,0.29419949999999995,-0.04903325,9.7870367,-0.0019198621771937625,-0.0006283185307179586,-0.006387905062299246
104744.7348,0.2745862,-0.10787314999999999,9.836069949999999,0.0045204027626653135,0.004310963252425994,-0.0029845130209103037
104744.7458,0.24516625,0.0196133,9.80665,0.005044001538263612,-0.0007504915783575617,-0.0004537856055185257
104744.7556,0.18632634999999997,-0.00980665,9.80665,0.0021467549799530253,-0.001308996938995747,0.003682644721708035
104744.7655,0.2745862,-0.00980665,9.894909849999998,0.0020420352248333657,-0.0037699111843077517,0.0018675022996339325
104744.7756,0.29419949999999995,-0.0392266,9.845876599999999,-0.003403392041388943,0.002775073510670984,0.005393067388662479
104744.7871,0.29419949999999995,-0.0392266,9.826263299999999,-0.007696902001294993,6.981317007977319e-05,-0.008395033702092726
104744.7956,0.30400615,-0.08825984999999999,9.7870367,0.0004363323129985824,-0.0016929693744344998,0.003665191429188092
104744.8059,0.26477955,0.0196133,9.80665,-0.0017976891295541594,0.004171336912266448,0.0072954762733362976
104744.8161,0.26477955,0.0,9.80665,0.0018500490071139892,-0.0026529004630313807,-0.0014311699866353504
104744.8252,0.25497289999999995,-0.0,9.747810099999999,0.0015009831567151233,-0.005550147021341968,-0.0026005405854715507
104744.8351,0.2745862,-0.02941995,9.845876599999999,-0.0024609142453120045,0.004310963252425994,-0.001186823891356144
