dt,tag,n1_vel,n2_vel
0.8527175769995665,idle,0,0
0.8631995650066528,idle,0,0
0.8727154140069615,idle,0,0
0.8831538490048843,idle,0,0
0.8928965200029779,idle,0,0
0.9034053250070428,idle,0,0
0.9131268759956583,idle,0,0
0.9235810230020434,idle,0,0
0.9324962469981983,idle,0,0
0.9429514820076292,idle,0,0
0.952695241998299,idle,0,0
0.963427317008609,idle,0,0
0.9725643069978105,idle,0,0
0.9830331429984653,idle,0,0
0.992510783005855,idle,0,0
1.0030641010089312,idle,0,0
1.0125578050065087,idle,0,0
1.0229952480003703,idle,0,0
1.0338959680084372,idle,0,0
1.0445105350081576,idle,0,0
1.05251571800909,idle,0,0
1.0629857699968852,idle,0,0
1.0724677620019065,idle,0,0
1.0837607480061706,idle,0,0
1.0924272300035227,idle,0,0
1.1029280020011356,idle,0,0
1.1125219340028707,idle,0,0
1.1229899050085805,idle,0,0
1.1339136010064976,idle,0,0
1.134882236001431,idle,0,0
1.1453227190067992,idle,0,0
1.1527146370062837,idle,0,0
1.163196784997126,idle,0,0
1.1727572109957691,idle,0,0
1.1832290870079305,idle,0,0
1.1928336109995143,idle,0,0
1.2032907340035308,idle,0,0
1.212604945001658,idle,0,0
1.2230620369955432,idle,0,0
1.232470746996114,idle,0,0
1.243015040003229,idle,0,0
1.2527991210081382,idle,0,0
1.2632134269952076,idle,0,0
1.2732802350074053,idle,0,0
1.2837622229999397,idle,0,0
1.292464961996302,idle,0,0
1.3029522620054195,idle,0,0
1.3124567189952359,idle,0,0
1.3229100339958677,idle,0,0
1.3325873910071095,idle,0,0
1.3432362000021385,idle,0,0
1.352912757996819,idle,0,0
1.3633558959991205,idle,0,0
1.3727705269993749,idle,0,0
1.3832799710071413,idle,0,0
1.393488800007617,idle,0,0
1.403921889999765,idle,0,0
1.412616084999172,idle,0,0
1.4230301990028238,idle,0,0
1.4328140550060198,idle,0,0
1.4432470820029266,idle,0,0
1.4531026199983899,idle,0,0
1.4635813439963385,idle,0,0
1.4732184129970847,idle,0,0
1.483705649006879,idle,0,0
1.4925071420002496,idle,0,0
1.5030466669995803,idle,0,0
1.5128503650048515,idle,0,0
1.5232565740006976,idle,0,0
1.5328538979956647,idle,0,0
1.5440372169978218,idle,0,0
1.5528135259955889,idle,0,0
1.5632991300080903,idle,0,0
1.5726182049984345,idle,0,0
1.584884242998669,idle,0,0
1.592491527000675,idle,0,0
1.6029730669979472,idle,0,0
1.6137581030052388,idle,0,0
1.6138478339998983,idle,0,0
1.6242698520072736,idle,0,0
1.6325864999962505,idle,0,0
1.6430424389982363,idle,0,0
1.6527311249956256,idle,0,0
1.663190104009118,idle,0,0
1.6724661379994359,idle,0,0
1.6829535029974068,idle,0,0
1.6927123659988865,idle,0,0
1.7032145150005817,idle,0,0
1.7124691409990191,idle,0,0
1.7229916740034241,idle,0,0
1.7326981200021692,idle,0,0
1.7432257409964222,idle,0,0
1.7527491750079207,idle,0,0
1.763246907008579,idle,0,0
1.7727250589960022,idle,0,0
1.7831896069983486,idle,0,0
1.7933799059974262,idle,0,0
1.80399252200732,idle,0,0
1.813128873007372,idle,0,0
1.8236293570080306,idle,0,0
1.8328765589976683,idle,0,0
1.8433495860081166,idle,0,0
1.852645813007257,idle,0,0
1.8632102359988494,idle,0,0
1.8726341139990836,idle,0,0
1.8834088459989289,idle,0,0
1.8929172390053282,idle,0,0
1.9043374930042773,idle,0,0
1.9133926890062867,idle,0,0
1.9238554129988188,idle,0,0
1.9332841230061604,idle,0,0
1.9437531830044463,idle,0,0
1.952667350997217,idle,0,0
1.963141722997534,idle,0,0
1.9735813419974875,idle,0,0
1.984021569005563,idle,0,0
1.9932029760093428,idle,0,0
2.003750821997528,idle,0,0
0.008514510001987219,after,0,0
0.01913534900813829,after,0,0
0.028220275009516627,after,0,0
0.03868357400642708,after,0,0
0.048431205010274425,after,0,0
0.059146160012460314,after,0,0
0.0689823380089365,after,0,0
0.07962429801409598,after,0,0
0.08884935500100255,after,0,0
0.09963583201169968,after,0,0
0.10856337600853294,after,0,0
0.11899832301423885,after,0,0
0.1281786430045031,after,0,0
0.1386230940115638,after,0,0
0.148993655006052,after,0,0
0.15947321000567172,after,0,0
0.16809530700265896,after,0,0
0.17856369400396943,after,0,0
0.1888609090092359,after,0,0
0.1997899810085073,after,0,0
0.2081389180093538,after,0,0
0.21855047201097477,after,0,0
0.22784737100300845,after,0,0
0.2382574210059829,after,0,0
0.24827485201240052,after,0,0
0.2587700880103512,after,0,0
0.26806954700441565,after,-752,-789
0.2785383830050705,after,-752,-789
0.2884556190110743,after,-752,-789
0.2989878810039954,after,-752,-789
0.30872175200784113,after,-752,-789
0.3192405090085231,after,-752,-789
0.3280970430059824,after,-752,-789
0.3385865510063013,after,-752,-789
0.3490982360090129,after,-752,-789
0.35273801800212823,after,-752,-789
0.3631636520003667,after,-752,-789
0.3681882080127252,after,-752,-789
0.3786417150113266,after,-752,-789
0.38852874300209805,after,-752,-789
0.3990521400119178,after,-752,-789
0.40793232301075477,after,-752,-789
0.41838967001240235,after,-752,-789
0.4282338480115868,after,-752,-789
0.438715388008859,after,-752,-789
0.4484212590032257,after,-752,-789
0.4589110230008373,after,-752,-789
0.467999532003887,after,-1172,-1175
0.47848321600758936,after,-1172,-1175
0.4884054760041181,after,-1172,-1175
0.4988968730031047,after,-1172,-1175
0.5084017450135434,after,-1172,-1175
0.5188572050101357,after,-1172,-1175
0.5295886400126619,after,-1172,-1175
0.5411150410072878,after,-1172,-1175
0.5488551600137725,after,-1172,-1175
0.5593425240076613,after,-1172,-1175
0.5680762400006643,after,-1172,-1175
0.5785360830050195,after,-1172,-1175
0.5882274890027475,after,-1172,-1175
0.5986952040111646,after,-1172,-1175
0.6091064380016178,after,-1172,-1175
0.6195717860100558,after,-1172,-1175
0.6287158490013098,after,-1172,-1175
0.6390745690005133,after,-1172,-1175
0.6482955300016329,after,-1172,-1175
0.6587047800130676,after,-1172,-1175
0.668179988002521,after,133,122
0.6786396070092451,after,133,122
0.6884107590012718,after,133,122
0.6989294520026306,after,133,122
0.7079586000036215,after,133,122
0.7184192109998548,after,133,122
0.7279342920082854,after,133,122
0.7383927280025091,after,133,122
0.7489086679997854,after,133,122
0.7596487120026723,after,133,122
0.7683801870007301,after,133,122
0.7788258860091446,after,133,122
0.7881386570079485,after,133,122
0.7986140850116499,after,133,122
0.8080287790071452,after,133,122
0.8185740330081899,after,133,122
0.8281828450126341,after,133,122
0.8386604160041315,after,133,122
0.8485774930013577,after,133,122
0.8590409840107895,after,133,122
0.8682064870081376,after,-24,-19
0.8786840270040557,after,-24,-19
0.8880242230079602,after,-24,-19
0.8985086430038791,after,-24,-19
0.9086862390104216,after,-24,-19
0.9192419890023302,after,-24,-19
0.9281391330005135,after,-24,-19
0.9385792950051837,after,-24,-19
0.9484743550128769,after,-24,-19
0.9589459750131937,after,-24,-19
0.9679987710114801,after,-24,-19
0.9785067440097919,after,-24,-19
0.9879992640053388,after,-24,-19
0.9985112370050047,after,-24,-19
1.0081372330023441,after,-24,-19
1.0185962760006078,after,-24,-19
1.0281043170107296,after,-24,-19
1.0385753610025859,after,-24,-19
1.0482432460121345,after,-24,-19
1.0588455570104998,after,-24,-19
1.068122744007269,after,-1,0
1.0785742990119616,after,-1,0
1.0881105640000897,after,-1,0
1.0986118810105836,after,-1,0
1.1081189300020924,after,-1,0
1.1185611730033997,after,-1,0
1.1280098520073807,after,-1,0
1.1385259850067087,after,-1,0
1.1482398550142534,after,-1,0
1.1587298750091577,after,-1,0
1.1683463670051424,after,-1,0
1.1788032990007196,after,-1,0
1.1879530890000751,after,-1,0
1.1985086470085662,after,-1,0
1.207973167009186,after,-1,0
1.2184511870000279,after,-1,0
1.2280423660122324,after,-1,0
1.2384931210108334,after,-1,0
1.248904547013808,after,-1,0
1.2496207910007797,after,-1,0
1.2600319610064616,after,-1,0
1.2682847670075716,after,0,0
1.2788194920140086,after,0,0
1.2880024360056268,after,0,0
1.298885843003518,after,0,0
1.3082760570105165,after,0,0
1.318727772013517,after,0,0
1.3287530750094447,after,0,0
1.3392005340137985,after,0,0
1.3483083400060423,after,0,0
1.358811128011439,after,0,0
1.3679621670016786,after,0,0
1.3784376910043648,after,0,0
1.3880171580094611,after,0,0
1.3985610360105056,after,0,0
1.408310523009277,after,0,0
1.4187555820099078,after,0,0
1.4279804790130584,after,0,0
1.4384820190025494,after,0,0
1.4482944210030837,after,0,0
1.4587905530061107,after,0,0
1.4683093140047276,after,0,0
1.4788065030006692,after,0,0
1.488185260008322,after,0,0
1.4987146410130663,after,0,0
1.5088257390016224,after,0,0
1.5192895180080086,after,0,0
1.528153701001429,after,0,0
1.5385852240142412,after,0,0
1.5485522530070739,after,0,0
1.5589929280104116,after,0,0
1.568035932010389,after,0,0
1.5785204480052926,after,0,0
1.5880202970001847,after,0,0
1.5985456460039131,after,0,0
1.6086301510076737,after,0,0
1.6190616090025287,after,0,0
1.6284919520112453,after,0,0
1.6389861960051348,after,0,0
1.64814142700925,after,0,0
1.658687353003188,after,0,0
1.6680395170114934,after,0,0
1.6785236170107964,after,0,0
1.6888663050049217,after,0,0
1.699317669001175,after,0,0
1.7079807260015514,after,0,0
1.7184861700079637,after,0,0
1.7280227240116801,after,0,0
1.7386029870103812,after,0,0
1.748296409001341,after,0,0
1.7587800290057203,after,0,0
1.7682147240120685,after,0,0
1.7786510460136924,after,0,0
1.7879924260050757,after,0,0
1.7985261600115336,after,0,0
1.8080187760060653,after,0,0
1.8185008280124748,after,0,0
1.8282491640129592,after,0,0
1.8386883340135682,after,0,0
1.8495159320009407,after,0,0
1.8599936640093802,after,0,0
1.8682015410013264,after,0,0
1.8794195170048624,after,0,0
1.888070894012344,after,0,0
1.8987065500114113,after,0,0
1.9084856070112437,after,0,0
1.9188616720057325,after,0,0
1.928518005006481,after,0,0
1.938954935001675,after,0,0
1.9482828110049013,after,0,0
1.9587218220112845,after,0,0
1.9682407110085478,after,0,0
1.9786612570023863,after,0,0
1.9892348000139464,after,0,0
1.9997327880118974,after,0,0
2.008148542008712,after,0,0
2.0186440350080375,after,0,0
2.029083718007314,after,0,0
2.0298792920075357,after,0,0
2.0403477110085078,after,0,0
2.049820359010482,after,0,0
2.0654907160060247,after,0,0
2.0683917560090777,after,0,0
2.0788937770121265,after,0,0
2.08817617900786,after,0,0
2.0993613230093615,after,0,0
2.109291040003882,after,0,0
2.1201175170135684,after,0,0
2.1281757579999976,after,0,0
2.138669778010808,after,0,0
2.1482583970064297,after,0,0
2.1587678420037264,after,0,0
2.1686849180114223,after,0,0
2.1799235670041526,after,0,0
2.1881445960025303,after,0,0
2.1986867140076356,after,0,0
2.2083849040063797,after,0,0
2.218911501011462,after,0,0
2.228038891000324,after,0,0
2.2385353110003052,after,0,0
2.2482891510007903,after,0,0
2.2587404180085286,after,0,0
2.268460209001205,after,0,0
2.278973558000871,after,0,0
2.288290873009828,after,0,0
2.298747421009466,after,0,0
2.30837015301222,after,0,0
2.3190675390069373,after,0,0
2.3285011450061575,after,0,0
2.3389505880040815,after,0,0
2.348533127005794,after,0,0
2.358982026009471,after,0,0
2.368616567007848,after,0,0
2.379972787006409,after,0,0
2.3894724430138012,after,0,0
2.4001713010075036,after,0,0
2.4083248730021296,after,0,0
2.418766027010861,after,0,0
2.4297133720101556,after,0,0
2.4323613820015453,after,0,0
2.4428506340045715,after,0,0
2.448487847010256,after,0,0
2.4589966840139823,after,0,0
2.4686301680048928,after,0,0
2.479154077009298,after,0,0
2.4880630930128973,after,0,0
2.498559514002409,after,0,0
2.508018753011129,after,0,0
