t_mono,ax,ay,az,gx,gy,gz
104057.7450,0.2745862,-0.0392266,9.7870367,-0.0007853981633974482,0.003735004599267865,-0.0025132741228718345
104057.7562,0.28439285,0.0196133,9.77723005,-0.005829399701661061,-0.0045553093477052,0.0029845130209103037
104057.7673,0.16671305,-0.0784532,9.747810099999999,-0.006126105674500096,0.008080874436733746,-0.001117010721276371
104057.7773,0.0784532,-0.02941995,9.855683249999998,0.0018849555921538759,0.0013264502315156904,-0.0011519173063162576
104057.7883,0.0392266,-0.0392266,9.7674234,0.002129301687433082,0.006998770300497262,0.007243116395776467
104057.7992,0.08825984999999999,-0.04903325,9.77723005,-0.009756390518648303,-0.0019373154697137059,0.0024609142453120045
104057.8103,0.10787314999999999,-0.06864655,9.8851032,0.004886921905584123,-0.007243116395776467,-0.0038222710618675817
104057.8209,-0.17651969999999997,-0.0392266,9.924329799999999,0.006056292504420323,0.012915436464758038,-0.0027052603405912107
104057.8317,-0.73549875,-0.10787314999999999,9.836069949999999,-0.00153588974175501,-0.0006806784082777885,-0.001239183768915974
104057.8418,-1.01008495,0.08825984999999999,9.757616749999999,0.0038048177693476384,0.0020420352248333657,-0.0023038346126325153
104057.8515,-0.8531785499999999,0.0392266,9.836069949999999,0.0018849555921538759,-0.003159045946109736,0.007225663103256524
104057.8621,-0.25497289999999995,0.0196133,9.836069949999999,-0.003159045946109736,0.0026354471705114374,-0.014608405839192538
104057.8718,0.18632634999999997,-0.0392266,9.757616749999999,0.000593411945678072,-0.0030543261909900766,-0.008464846872172497
104057.8829,0.3334261,-0.0392266,9.80665,0.002530727415391778,-0.005567600313861911,-0.004572762640225144
104057.8941,0.22555294999999997,-0.0784532,9.80665,-0.003892084231947355,-0.0037000980142279784,-0.0010471975511965976
104057.9047,-0.12748644999999997,-0.0588399,9.875296549999998,0.00445058959258554,-0.0041887902047863905,-0.0011693705988362008
104057.9152,-0.32361945,-0.00980665,9.757616749999999,0.0011344640137963143,0.004572762640225144,-0.0046251225177849735
104057.9245,0.0392266,-0.10787314999999999,9.7674234,0.0014660765716752368,-0.005009094953223725,-0.0051836278784231585
104057.9344,0.3138128,-0.04903325,9.79684335,-0.004101523742186674,0.0006981317007977319,-0.002408554367752175
104057.9444,0.61781895,-0.1569064,9.7870367,-0.004101523742186674,-0.004642575810304917,-0.00973893722612836
104057.9555,0.4216859499999999,-0.0196133,9.738003449999999,-0.005270894341022875,0.0054105206811824215,-0.003979350694547071
104057.9651,0.21574629999999997,-0.0980665,9.7085835,-0.004136430327226561,-0.007853981633974483,-0.0072954762733362976
104057.9766,-0.10787314999999999,-0.0588399,9.80665,-0.0012042771838760874,-0.00019198621771937625,-0.0009250245035569946
104057.9886,-0.1372931,-0.0588399,9.845876599999999,-0.0008028514559173916,-0.003926990816987242,-0.0014660765716752368
104057.9985,0.36284605,0.02941995,9.826263299999999,0.0010122909661567112,0.0007155849933176752,-0.000593411945678072
104058.0086,0.67665885,-0.12748644999999997,9.81645665,0.0056199601914217415,0.00019198621771937625,0.003420845333908886
104058.0184,0.73549875,-0.0196133,9.80665,-0.0006981317007977319,-0.00471238898038469,-0.007923794804054257
104058.0289,0.5491724,0.0,9.79684335,0.0007155849933176752,0.0016231562043547264,0.0002617993877991494
104058.0402,0.30400615,-0.00980665,9.738003449999999,-0.00937241808320955,-0.0030543261909900766,-0.0044156830075456534
104058.0502,0.25497289999999995,-0.0784532,9.875296549999998,-0.006579891280018622,-0.0015533430342749533,0.004276056667386108
104058.0611,0.37265269999999995,-0.0980665,9.836069949999999,0.007958701389094143,-0.0023911010752322315,-0.0017976891295541594
104058.0721,0.43149259999999995,-0.1176798,9.81645665,6.981317007977319e-05,-0.004310963252425994,-0.0005235987755982988
104058.0830,0.6864655000000001,-0.02941995,9.826263299999999,5.235987755982989e-05,0.003159045946109736,0.000890117918517108
104058.0932,0.45110589999999995,-0.0980665,9.80665,0.012356931104119853,0.0002443460952792061,0.001710422666954443
104058.1034,0.34323275000000003,-0.02941995,9.81645665,-0.0004886921905584122,-0.001308996938995747,-0.005270894341022875
104058.1128,0.24516625,0.04903325,9.826263299999999,-0.0016580627893946131,0.001361356816555577,0.00047123889803846896
104058.1236,0.196133,-0.06864655,9.855683249999998,-0.0045553093477052,-0.001186823891356144,-0.001239183768915974
104058.1337,0.392266,-0.0392266,9.71839015,-0.0035779249665883754,-0.006108652381980153,0.007120943348136864
104058.1435,0.43149259999999995,0.0,9.7674234,0.0016755160819145565,-0.0025132741228718345,-0.001780235837034216
104058.1542,0.46091255,-0.0196133,9.7281968,0.003473205211468716,-0.003996803987067015,0.001186823891356144
104058.1650,0.3334261,-0.06864655,9.7870367,0.011152653920243767,-0.009616764178488757,0.0015882496193148398
104058.1793,0.1176798,-0.02941995,9.836069949999999,0.004328416544945937,0.005707226654021458,0.0038571776469074684
104058.1888,0.18632634999999997,-0.04903325,9.8851032,-0.006771877497737999,0.004031710572106902,0.00767944870877505
104058.1986,0.3138128,-0.00980665,9.77723005,0.00614355896702004,0.0036477381366681488,-0.0019722220547535923
104058.2088,0.3138128,-0.04903325,9.845876599999999,-0.0032812189937493396,-0.00942477796076938,-0.0049741883681838385
104058.2184,0.29419949999999995,-0.00980665,9.81645665,0.001762782544514273,0.0025132741228718345,0.00301941960595019
104058.2295,0.25497289999999995,-0.0588399,9.79684335,-0.010943214410004447,0.0026878070480712674,0.005567600313861911
104058.2394,0.17651969999999997,-0.00980665,9.7870367,0.014800392056911913,-0.007260569688296411,0.008587019919812101
104058.2491,0.196133,-0.02941995,9.836069949999999,-0.0003665191429188092,0.003839724354387525,-0.006318091892219472
104058.2592,0.26477955,0.00980665,9.80665,-0.0008028514559173916,0.004939281783143952,-0.0018500490071139892
104058.2718,0.2745862,-0.06864655,9.845876599999999,-0.004118977034706617,0.0020943951023931952,-0.004921828490624009
104058.2793,0.40207265,-0.0588399,9.79684335,0.001762782544514273,-0.002408554367752175,-0.007382742735936014
104058.2903,0.26477955,-0.04903325,9.80665,-0.005480333851262195,-0.003909537524467298,0.0014311699866353504
104058.3003,0.14709974999999997,-0.02941995,9.826263299999999,0.0009948376736367678,-0.003612831551628262,-0.0021991148575128553
104058.3103,0.21574629999999997,0.06864655,9.81645665,0.005916666164260778,-0.0029670597283903604,-0.0070685834705770355
104058.3211,0.25497289999999995,-0.04903325,9.855683249999998,0.001954768762233649,0.0027576202181510408,0.00027925268031909274
104058.3320,0.35303939999999995,0.02941995,9.80665,0.002286381320112572,-0.0037175513067479217,0.0017278759594743863
104058.3434,0.30400615,-0.02941995,9.7674234,0.00301941960595019,-0.0050789081233034985,-0.0032637657012293962
104058.3545,0.2745862,-0.0392266,9.81645665,-0.001780235837034216,-0.0012042771838760874,0.0037524578917878084
104058.3638,0.2745862,-0.0,9.81645665,0.005375614096142535,0.009756390518648303,0.0016580627893946131
104058.3737,0.26477955,-0.06864655,9.7674234,0.0006632251157578452,-0.0023212879051524586,-0.0019722220547535923
